,书名,价格(元）
0,Rust实战,110.33
1,Python编程快速上手 让繁琐工作自动化 第2版【购买纸质书免费赠送本书e读版电子书】,75.65
2,C++ Primer Plus 第6版 中文版,100.30
3,pandas数据处理与分析,83.30
4,Python极客编程：用代码探索世界,67.92
5,软技能：代码之外的生存指南（第2版）,84.83
6,PyTorch深度学习实战,101.92
7,Easy RL 强化学习教程,84.92
8,C++并发编程实战（第2版）,118.83
9,【抢读版】01改变世界：计算机原理趣谈,67.15
10,深入浅出Windows API程序设计：核心编程篇,127.42
11,动手学强化学习,76.42
12,计算机图形学入门：3D渲染指南,76.42
13,改善对话：突破团队协作障碍,50.83
14,SQL学习指南（第3版）,76.42
15,元宇宙时代,59.33
16,C Primer Plus 第6版 中文版,91.80
17,课堂上来不及思考的数学2：挑战思维极限,42.33
18,【抢读版】趣学算法（第2版）,91.80
19,程序员软技能,67.92
20,深入浅出Windows API程序设计：编程基础篇,101.92
21,计算之魂,92.65
22,Spring微服务实战（第2版）,93.42
23,计算机系统开发与优化实战,93.33
24,【抢读版】01改变世界：计算机发展史趣谈,67.15
25,神秘的程序员 什么塑造了今天的编程世界 漫画编程历史大事件 2022年周历版【接受企业定制，010-81055363】,127.33
26,动手打造深度学习框架,76.42
27,CPU通识课,67.92
28,C++沉思录,75.65
29,C++ Primer Plus（第6版）中文版习题解答,75.65
30,分布式应用系统架构设计与实践,67.92
31,ARM64体系结构编程与实践,101.83
32,智能风控实践指南：从模型、特征到决策,76.42
33,C陷阱与缺陷,41.65
34,C专家编程,58.65
35,C编程从入门到实践,75.65
36,Go语言定制指南,67.92
37,“笨办法”学C语言,58.65
38,持续交付2.0：业务引领的DevOps精要（增订本）,84.92
39,现代C++语言核心特性解析,101.92
40,Calcite数据管理实战,76.42
41,笨办法学Python 3 进阶篇,50.15
42,大话性能测试：JMeter实战,76.42
43,跟小海龟学Python,67.92
44,C语言程序设计,93.42
45,你必须知道的495个C语言问题,38.25
46,C语言接口与实现：创建可重用软件的技术,76.42
47,C语言解惑,29.75
48,Python参考手册（第4版•修订版）,75.65
49,Flutter内核源码剖析,76.42
50,课堂上来不及思考的数学,42.33
51,Python编程做中学,67.83
52,程序设计竞赛训练营：算法与实践,84.92
